"key","en","kr"
"game_over","game over","게임 오보"
"quote","water dripping day by day wears the hardest rock away","물 운전은 매일매일 가장 힘든 바위로부터 떨어져 나간다"
"tap_to_start","tap to start","시작하기"
"title","the legend of kato","카토의 전설"
"tap_to_continue","TAP TO CONTINUE","계속하려면 탭"
"intro_0","This is KATO's HOUSE","여기는 카토의 집이다."
"intro_1","KATO WAS AN ORDINARY LITTLE BOY","카토는 평범한 소년이었다."
"intro_2","BUT ONE NIGHT SOMETHING HAPPENED","하지만 어느 날 밤 무슨 일이 일어났어"
"intro_3","WAKE UP KATO!","일어나라 카토!"
"intro_4","WHO ARE YOU?!","넌 누구야?!"
"intro_5","I AM THE GREAT WIZARD OF THE UNDERWATER WORLD!","난 수중 세계의 위대한 마법사야!"
"intro_6","AND MY UNDERWATER WORLD WAS BEAUTIFUL...","그리고 내 수중 세계는 아름다웠다..."
"intro_7","IT USED TO BE BEAUTIFUL AT LEAST","적어도 예전엔 아름다웠지"
"intro_8","BUT ONCE, THE LIGHTS WENT OUT","하지만 한번은, 불이 꺼졌다"
"intro_9","AND AN ANCIENT EVIL APPEARED - AN ELDRICH DRAGON! HE DESTROYED MY TOWN","그리고 고대 악마가 나타났다 - 엘드리히 드래곤! 그는 내 마을을 파괴했다."
"intro_10","I WENT AROUND THE WHOLE WORLD IN SEARCH OF A HERO WHO WILL SAVE MY WORLD","난 내 세상을 구할 영웅을 찾기 위해 온 세상을 돌아다녔어"
"intro_11","AND YOU ARE SUCH HERO! YOU HAVE THE STRENGHT AND COURAGE TO DEFEAT THE DRAGON. I BEG YOU KATO, SAVE MY WORLD!","그리고 넌 정말 영웅이야! 넌 용을 물리칠 수 있는 힘과 용기를 가지고 있어. 카토, 내 세상을 구해주길 빌게!"
"outro_0","WAKE UP KATO!","일어나라 카토!"
"outro_1","WHO ARE YOU?","당신은 누구인가?"
"outro_2","SNAP!","스냅!"
"outro_3","It is me your mom! Good morning kato.","내가 네 엄마야! 좋은아침 카토."
"outro_4","YOU WOKE UP LATE. GET READY FOR SCHOOL QUICKLY!","늦게 일어났구나. 빨리 학교 갈 준비를 해라!"
